payitem_number,payitem_desc,unit,quantity,county,district,contract,item,awarded_price,letting_date,id
25000210,SEEDING CL  2A,ACRE,2.300,MCHENRY,1,60T13,2,1845,11/9/2018,
25000210,SEEDING CL  2A,ACRE,1.000,MCLEAN,5,70752,21,4300,11/9/2018,
25000210,SEEDING CL  2A,ACRE,4.250,PEORIA,4,68185,42,1050,11/9/2018,
25000210,SEEDING CL  2A,ACRE,11.500,VERMILION,5,70D07,76,1200,11/9/2018,
25000210,SEEDING CL  2A,ACRE,18.250,WILLIAMSON,9,78363,59,1145.77,11/9/2018,
25000210,SEEDING CL  2A,ACRE,3.750,WINNEBAGO,2,64B87,45,3490,11/9/2018,
25000300,SEEDING CL  3,ACRE,0.250,ADAMS,6,93711,101,5800,11/9/2018,
25000300,SEEDING CL  3,ACRE,0.470,LASALLE,3,66F12,20,2962,11/9/2018,
25000300,SEEDING CL  3,ACRE,0.500,PEORIA,4,68185,42,1650,11/9/2018,
25000305,SEEDING CL  3A,ACRE,0.250,CHAMPAIGN,5,91576,96,8000,11/9/2018,
25000310,SEEDING CL  4,ACRE,4.200,KANE,1,62F16,8,2250,11/9/2018,
25000310,SEEDING CL  4,ACRE,0.210,LAKE,1,62D35,7,1600,11/9/2018,
25000310,SEEDING CL  4,ACRE,0.750,PEORIA,4,68185,42,1050,11/9/2018,
25000312,SEEDING CL  4A,ACRE,59.750,WINNEBAGO,2,64B87,45,3390,11/9/2018,
25000350,SEEDING CL  7,ACRE,0.100,JACKSON,9,78674,63,0,11/9/2018,
25000350,SEEDING CL  7,ACRE,3.000,MCLEAN,5,70752,21,415,11/9/2018,
25000350,SEEDING CL  7,ACRE,18.250,WILLIAMSON,9,78363,59,489.02,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,180.000,ADAMS,6,93711,101,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,21.000,CHAMPAIGN,5,91576,96,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,871.000,CLINTON,8,76887,58,1.85,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,2.280,COOK,1,46473,67,20,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,657.000,COOK,1,60X79,3,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,655.000,COOK,1,60X93,4,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,6.000,COOK,1,61F14,87,1,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,231.000,COOK,1,62A36,5,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,9.300,COOK,1,62C71,6,3.3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,2.280,DUPAGE,1,46472,66,2.3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,164.000,DUPAGE,1,61E06,78,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,2.000,DUPAGE,1,62F57,11,5,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,12.000,JACKSON,9,78674,63,4.4,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,180.000,KANE,1,61E67,79,2.5,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,36.000,KANE,1,61E75,80,3.85,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,23.000,KANE,1,61E99,81,5,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,248.000,KANE,1,61F04,83,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,151.000,KANE,1,62B31,36,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,567.000,KANE,1,62F16,8,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,275.000,KANKAKEE,3,66956,19,1.65,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,63.000,KENDALL,3,87665,91,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,91.000,LAKE,1,62D35,7,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,117.000,LASALLE,3,66A57,39,2.2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,42.000,LASALLE,3,66F12,20,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,53.000,LIVINGSTON,3,66H50,73,1.1,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,900.000,LOGAN,6,93721,98,1.05,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,207.000,MCHENRY,1,60T13,2,2.56,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,75.000,MCLEAN,5,70752,21,3.25,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,698.000,PEORIA,4,68185,42,1.05,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,4095.000,SANGAMON,6,72B37,22,1.21,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,1035.000,VERMILION,5,70D07,76,1.4,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,118.000,WILL,1,61F19,89,2,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,1643.000,WILLIAMSON,9,78363,59,1.25,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,283.000,WINNEBAGO,2,46903,99,3,11/9/2018,
25000400,NITROGEN FERT NUTR,POUND,6268.000,WINNEBAGO,2,64B87,45,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,180.000,ADAMS,6,93711,101,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,21.000,CHAMPAIGN,5,91576,96,3,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,871.000,CLINTON,8,76887,58,1.85,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,231.000,COOK,1,62A36,5,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,9.300,COOK,1,62C71,6,3.3,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,2.000,DUPAGE,1,62F57,11,5,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,6.000,JACKSON,9,78674,63,4.4,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,180.000,KANE,1,61E67,79,2.5,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,36.000,KANE,1,61E75,80,3.85,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,23.000,KANE,1,61E99,81,5,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,567.000,KANE,1,62F16,8,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,275.000,KANKAKEE,3,66956,19,1.65,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,63.000,KENDALL,3,87665,91,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,117.000,LASALLE,3,66A57,39,2.2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,42.000,LASALLE,3,66F12,20,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,53.000,LIVINGSTON,3,66H50,73,1.1,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,900.000,LOGAN,6,93721,98,1.05,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,207.000,MCHENRY,1,60T13,2,2.56,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,75.000,MCLEAN,5,70752,21,3.25,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,698.000,PEORIA,4,68185,42,1.05,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,4095.000,SANGAMON,6,72B37,22,1.21,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,1035.000,VERMILION,5,70D07,76,1.4,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,118.000,WILL,1,61F19,89,2,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,1643.000,WILLIAMSON,9,78363,59,1.4,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,283.000,WINNEBAGO,2,46903,99,3,11/9/2018,
25000500,PHOSPHORUS FERT NUTR,POUND,6268.000,WINNEBAGO,2,64B87,45,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,180.000,ADAMS,6,93711,101,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,21.000,CHAMPAIGN,5,91576,96,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,871.000,CLINTON,8,76887,58,1.85,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,2.280,COOK,1,46473,67,20,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,657.000,COOK,1,60X79,3,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,655.000,COOK,1,60X93,4,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,6.000,COOK,1,61F14,87,1,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,231.000,COOK,1,62A36,5,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,9.300,COOK,1,62C71,6,3.3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,2.280,DUPAGE,1,46472,66,2.3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,164.000,DUPAGE,1,61E06,78,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,2.000,DUPAGE,1,62F57,11,5,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,6.000,JACKSON,9,78674,63,4.4,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,180.000,KANE,1,61E67,79,2.5,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,36.000,KANE,1,61E75,80,3.85,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,23.000,KANE,1,61E99,81,5,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,248.000,KANE,1,61F04,83,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,151.000,KANE,1,62B31,36,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,567.000,KANE,1,62F16,8,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,275.000,KANKAKEE,3,66956,19,1.65,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,63.000,KENDALL,3,87665,91,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,91.000,LAKE,1,62D35,7,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,117.000,LASALLE,3,66A57,39,2.2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,42.000,LASALLE,3,66F12,20,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,53.000,LIVINGSTON,3,66H50,73,1.1,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,900.000,LOGAN,6,93721,98,1.05,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,207.000,MCHENRY,1,60T13,2,2.56,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,75.000,MCLEAN,5,70752,21,3.25,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,698.000,PEORIA,4,68185,42,1.05,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,4095.000,SANGAMON,6,72B37,22,1.21,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,1035.000,VERMILION,5,70D07,76,1.4,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,118.000,WILL,1,61F19,89,2,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,1643.000,WILLIAMSON,9,78363,59,1.07,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,283.000,WINNEBAGO,2,46903,99,3,11/9/2018,
25000600,POTASSIUM FERT NUTR,POUND,6268.000,WINNEBAGO,2,64B87,45,2,11/9/2018,
25000700,AGR GROUND LIMESTONE,TON,4.000,ADAMS,6,93711,101,150,11/9/2018,
25000700,AGR GROUND LIMESTONE,TON,0.100,JACKSON,9,78674,63,330,11/9/2018,
25000700,AGR GROUND LIMESTONE,TON,20.000,LOGAN,6,93721,98,52.5,11/9/2018,
25000700,AGR GROUND LIMESTONE,TON,91.000,SANGAMON,6,72B37,22,53.36,11/9/2018,
25000700,AGR GROUND LIMESTONE,TON,37.000,WILLIAMSON,9,78363,59,95.61,11/9/2018,
25000750,MOWING,ACRE,8.750,KANE,1,62B31,36,88,11/9/2018,
25000750,MOWING,ACRE,51.500,PEORIA,4,68185,42,102,11/9/2018,
25000750,MOWING,ACRE,21.250,WILLIAMSON,9,78363,59,55.12,11/9/2018,
25000750,MOWING,ACRE,10.000,WINNEBAGO,2,64B87,45,500,11/9/2018,
25000775,SELECT MOWING STAKES,EACH,41.000,WINNEBAGO,2,64B87,45,50,11/9/2018,
25003210,INTERSEED CL  2A,ACRE,2.100,DUPAGE,1,62F57,11,2420,11/9/2018,
25003210,INTERSEED CL  2A,ACRE,2.250,PEORIA,4,68185,42,825,11/9/2018,
25003300,INTERSEED CL  3,ACRE,0.250,PEORIA,4,68185,42,1250,11/9/2018,
25100115,MULCH METHOD 2,ACRE,1.750,ADAMS,6,93711,101,1200,11/9/2018,
25100115,MULCH METHOD 2,ACRE,19.250,COOK,1,60X79,3,1771,11/9/2018,
25100115,MULCH METHOD 2,ACRE,38.750,COOK,1,60X93,4,1775,11/9/2018,
25100115,MULCH METHOD 2,ACRE,2.570,COOK,1,62A36,5,2000,11/9/2018,
25100115,MULCH METHOD 2,ACRE,2.750,DUPAGE,1,61E06,78,1771,11/9/2018,
25100115,MULCH METHOD 2,ACRE,6.300,KANE,1,62F16,8,1800,11/9/2018,
25100115,MULCH METHOD 2,ACRE,3.050,KANKAKEE,3,66956,19,1320,11/9/2018,
25100115,MULCH METHOD 2,ACRE,1.900,KENDALL,3,87665,91,1000,11/9/2018,
25100115,MULCH METHOD 2,ACRE,10.000,LOGAN,6,93721,98,882,11/9/2018,
25100115,MULCH METHOD 2,ACRE,2.300,MCHENRY,1,60T13,2,1845,11/9/2018,
25100115,MULCH METHOD 2,ACRE,2.750,PEORIA,4,68185,42,825,11/9/2018,
25100115,MULCH METHOD 2,ACRE,45.500,SANGAMON,6,72B37,22,799.07,11/9/2018,
25100115,MULCH METHOD 2,ACRE,2.000,WILL,1,61F19,89,1800,11/9/2018,
25100115,MULCH METHOD 2,ACRE,18.250,WILLIAMSON,9,78363,59,873.97,11/9/2018,
25100115,MULCH METHOD 2,ACRE,18.070,WINNEBAGO,2,46903,99,2058,11/9/2018,
25100115,MULCH METHOD 2,ACRE,95.000,WINNEBAGO,2,64B87,45,1200,11/9/2018,
25100125,MULCH METHOD 3,ACRE,0.250,CHAMPAIGN,5,91576,96,8600,11/9/2018,
25100125,MULCH METHOD 3,ACRE,6.000,KANE,1,61F04,83,1900,11/9/2018,
25100125,MULCH METHOD 3,ACRE,1.750,KANE,1,62B31,36,2950,11/9/2018,
25100125,MULCH METHOD 3,ACRE,0.750,MCLEAN,5,70752,21,3300,11/9/2018,
25100125,MULCH METHOD 3,ACRE,11.500,VERMILION,5,70D07,76,1435,11/9/2018,
25100127,MULCH METHOD 3A,ACRE,0.250,ADAMS,6,93711,101,4600,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,946.000,BUREAU,3,87686,92,1.3,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,2258.000,CHAMPAIGN,5,91550,94,5,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,1345.000,CHAMPAIGN,5,91576,96,2,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,190.000,COOK,1,46473,67,15,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,35090.000,COOK,1,60X79,3,0.8,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,34447.000,COOK,1,60X93,4,0.8,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,12127.000,COOK,1,62A36,5,0.8,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,190.000,DUPAGE,1,46472,66,5.9,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,8422.000,KANE,1,61E67,79,1.15,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,2085.000,KANE,1,61E75,80,1.65,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,453.000,KANE,1,61E99,81,4.52,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,7081.000,KANE,1,61F04,83,1.15,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,8119.000,KANE,1,62B31,36,1,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,30492.000,KANE,1,62F16,8,1.15,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,3388.000,KENDALL,3,87665,91,1.25,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,4904.000,LAKE,1,62D35,7,1,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,12768.000,LASALLE,3,66A57,39,1.31,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,2282.000,LASALLE,3,66F12,20,1,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,2864.000,LIVINGSTON,3,66H50,73,1.38,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,11128.000,MCHENRY,1,60T13,2,1.13,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,10123.000,PEORIA,4,68185,42,1.4,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,2784.000,WILL,1,61F19,89,0.68,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,28160.000,WILLIAMSON,9,78363,59,1.33,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,9890.000,WINNEBAGO,2,46903,99,1.2,11/9/2018,
25100630,EROSION CONTR BLANKET,SQ YD,108745.000,WINNEBAGO,2,64B87,45,1.35,11/9/2018,
25100635,HD EROS CONTR BLANKET,SQ YD,14786.000,KANKAKEE,3,66956,19,1.86,11/9/2018,
25100635,HD EROS CONTR BLANKET,SQ YD,520.000,MCLEAN,5,70752,21,3.25,11/9/2018,
25100635,HD EROS CONTR BLANKET,SQ YD,730.000,PEORIA,4,68185,42,2.05,11/9/2018,
25100900,TURF REINF MAT,SQ YD,121.000,KANKAKEE,3,66956,19,9.9,11/9/2018,
25100900,TURF REINF MAT,SQ YD,4004.000,WINNEBAGO,2,46903,99,6,11/9/2018,
25200100,SODDING,SQ YD,8628.000,DUPAGE,1,61E06,78,7.2,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,1706.000,COOK,1,60X79,3,8,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,1006.000,COOK,1,60X93,4,8,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,1250.000,COOK,1,61F07,85,10,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,500.000,COOK,1,61F14,87,18,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,8000.000,COOK,1,61F16,88,11.3,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,461.000,COOK,1,62C71,6,18.26,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,4477.000,DUPAGE,1,61E06,78,7.5,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,153.000,DUPAGE,1,62F57,11,30,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,1755.000,KANE,1,61E67,79,8.75,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,961.000,KANE,1,61E99,81,14.01,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,456.000,KANE,1,61F11,86,10.2,11/9/2018,
25200110,SODDING SALT TOLERANT,SQ YD,5320.000,WILL,1,61F19,89,7.5,11/9/2018,
25200200,SUPPLE WATERING,UNIT,5.000,CHAMPAIGN,5,91576,96,100,11/9/2018,
25200200,SUPPLE WATERING,UNIT,54.000,COOK,1,60X79,3,0.01,11/9/2018,
25200200,SUPPLE WATERING,UNIT,139.000,COOK,1,60X93,4,0.1,11/9/2018,
25200200,SUPPLE WATERING,UNIT,5.000,COOK,1,61F14,87,0.1,11/9/2018,
25200200,SUPPLE WATERING,UNIT,1.000,COOK,1,62C71,6,462,11/9/2018,
25200200,SUPPLE WATERING,UNIT,10.000,DUPAGE,1,61E06,78,0.01,11/9/2018,
25200200,SUPPLE WATERING,UNIT,2.000,DUPAGE,1,62F57,11,50,11/9/2018,
25200200,SUPPLE WATERING,UNIT,53.000,KANE,1,61E67,79,35,11/9/2018,
25200200,SUPPLE WATERING,UNIT,13.000,KANE,1,61E99,81,85.56,11/9/2018,
25200200,SUPPLE WATERING,UNIT,342.000,KANE,1,61F04,83,25,11/9/2018,
25200200,SUPPLE WATERING,UNIT,5.000,KANE,1,61F11,86,0.01,11/9/2018,
25200200,SUPPLE WATERING,UNIT,44.000,WILL,1,61F19,89,0.01,11/9/2018,
28000200,EARTH EXC - EROS CONT,CU YD,30.000,ADAMS,6,93711,101,20,11/9/2018,
28000200,EARTH EXC - EROS CONT,CU YD,5.000,PEORIA,4,68185,42,55,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,400.000,ADAMS,6,93711,101,2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,20.000,BUREAU,3,87686,92,20,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,500.000,CHAMPAIGN,5,91550,94,8,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,23.000,CHAMPAIGN,5,91576,96,1,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,2903.000,CLINTON,8,76887,58,2.25,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,1925.000,COOK,1,60X79,3,2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,3852.000,COOK,1,60X93,4,2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,257.000,COOK,1,62A36,5,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,542.000,DUPAGE,1,61E06,78,2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,500.000,HENRY,2,85672,90,1,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,14.000,JACKSON,9,78674,63,13.82,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,180.000,KANE,1,61E67,79,4,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,40.000,KANE,1,61E75,80,5,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,20.000,KANE,1,61E99,81,16.48,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,1095.000,KANE,1,61F04,83,5,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,346.000,KANE,1,62B31,36,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,630.000,KANE,1,62F16,8,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,821.000,KANKAKEE,3,66956,19,3.85,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,200.000,KENDALL,3,87665,91,3.5,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,202.000,LAKE,1,62D35,7,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,132.000,LASALLE,3,66A57,39,4.4,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,94.000,LASALLE,3,66F12,20,4,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,31.000,LAWRENCE,7,74619,27,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,59.000,LIVINGSTON,3,66H50,73,10,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,1000.000,LOGAN,6,93721,98,3.19,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,230.000,MCHENRY,1,60T13,2,2.92,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,225.000,MCLEAN,5,70752,21,3,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,35.000,MOULTRIE,7,74358,26,3.09,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,550.000,PEORIA,4,68185,42,4.1,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,25.000,PIATT,5,91555,95,5,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,10.000,PIATT,5,91580,97,10,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,4550.000,SANGAMON,6,72B37,22,3.68,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,11500.000,VERMILION,5,70D07,76,1.2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,556.000,WILL,1,61F19,89,2,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,1784.000,WILLIAMSON,9,78363,59,2.62,11/9/2018,
28000250,TEMP EROS CONTR SEED,POUND,7985.000,WINNEBAGO,2,64B87,45,0.1,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,240.000,ADAMS,6,93711,101,15,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,45.000,BUREAU,3,87686,92,30,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,152.000,CHAMPAIGN,5,91550,94,19,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,672.000,CLINTON,8,76887,58,15,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,90.000,COOK,1,60X79,3,9,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,352.000,COOK,1,62A36,5,9,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,128.000,DUPAGE,1,61E06,78,3.7,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,190.000,KANE,1,61E67,79,8,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,384.000,KANE,1,62B31,36,9,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,1158.000,KANE,1,62F16,8,8.5,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,233.000,KANKAKEE,3,66956,19,11,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,20.000,KENDALL,3,87665,91,11,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,160.000,LAKE,1,62D35,7,10,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,80.000,LASALLE,3,66A57,39,11,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,40.000,LAWRENCE,7,74619,27,20,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,42.000,LOGAN,6,93721,98,24.82,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,1810.000,MCHENRY,1,60T13,2,8.2,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,880.000,MCLEAN,5,70752,21,6,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,352.000,PEORIA,4,68185,42,18,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,2994.000,SANGAMON,6,72B37,22,15.39,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,380.000,VERMILION,5,70D07,76,8.5,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,48.000,WILL,1,61F19,89,9,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,1732.000,WILLIAMSON,9,78363,59,16.81,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,4536.000,WINNEBAGO,2,46903,99,6,11/9/2018,
28000305,TEMP DITCH CHECKS,FOOT,6760.000,WINNEBAGO,2,64B87,45,20.79,11/9/2018,
28000315,AGG DITCH CHECKS,TON,40.000,ADAMS,6,93711,101,50,11/9/2018,
28000315,AGG DITCH CHECKS,TON,320.000,PEORIA,4,68185,42,63,11/9/2018,
28000400,PERIMETER EROS BAR,FOOT,3900.000,ADAMS,6,93711,101,2,11/9/2018,
28000400,PERIMETER EROS BAR,FOOT,931.000,BUREAU,3,87686,92,2,11/9/2018,
28000400,PERIMETER EROS BAR,FOOT,20447.000,CHAMPAIGN,5,91550,94,3.25,11/9/2018,
28000400,PERIMETER EROS BAR,FOOT,1660.000,CHAMPAIGN,5,91576,96,3,11/9/2018,
