payitem_number,payitem_desc,unit,quantity,county,district,contract,item,awarded_price,letting_date,id
D2001538,E-JUNIP VIRG       4',EACH,40.000,CLINTON,8,76887,58,115,11/9/2018,
D2001772,E-PICEA ABIES      6',EACH,5.000,ADAMS,6,93711,101,400,11/9/2018,
D2001988,E-PICEA GLAU DEN   8',EACH,10.000,KANE,1,61F04,83,575,11/9/2018,
D2002188,E-PICEA PUNGENS    8',EACH,20.000,KANE,1,61F04,83,550,11/9/2018,
D2002788,E-PINUS NIGRA      8',EACH,10.000,KANE,1,61F04,83,750,11/9/2018,
E20020G6,V-C RADICANS 1G,EACH,5.000,ADAMS,6,93711,101,55,11/9/2018,
K0012970,PERENNIAL PLNT BULB T,UNIT,57.000,KANE,1,62F16,8,62,11/9/2018,
K0012975,"P PL ORNAMENT T  4"" P",UNIT,20.400,KANE,1,62F16,8,500,11/9/2018,
K0012990,P PL ORNAMENT T GAL P,UNIT,0.380,ADAMS,6,93711,101,5000,11/9/2018,
K0012990,P PL ORNAMENT T GAL P,UNIT,2.770,COOK,1,61F07,85,1300,11/9/2018,
K0012990,P PL ORNAMENT T GAL P,UNIT,4.800,KANE,1,62F16,8,1235,11/9/2018,
K0013060,P PL SEDG MDW 2X4 DPG,UNIT,5.800,KANE,1,62B31,36,401,11/9/2018,
K0026700,TREE CARE,EACH,20.000,COOK,1,62C71,6,363,11/9/2018,
K0029614,WEED CONT AQUATIC,GALLON,2.500,DUPAGE,1,62F57,11,1250,11/9/2018,
K0029618,WEED CONT BROADLF TRF,GALLON,2.500,DUPAGE,1,62F57,11,1400,11/9/2018,
K0029618,WEED CONT BROADLF TRF,GALLON,157.000,VARIOUS,4,68E61,51,1133.5,11/9/2018,
K0029632,WEED CONT N SEL/N RES,GALLON,8.000,WILLIAMSON,9,78363,59,210.2,11/9/2018,
K0029634,WEED CONTR PRE-EM GRN,POUND,14.000,COOK,1,61F07,85,15,11/9/2018,
K0029634,WEED CONTR PRE-EM GRN,POUND,10.700,KANE,1,62F16,8,15,11/9/2018,
K1003680,MULCH,SQ YD,195.000,ADAMS,6,93711,101,55,11/9/2018,
K1004572,PRAIRIE SEEDING SPL,ACRE,6.300,WINNEBAGO,2,46903,99,10894,11/9/2018,
K1004595,PRUN SAFETY/EQUIP CLR,L SUM,1.000,KANE,1,62B31,36,590,11/9/2018,
K1005421,SEEDING SPL,ACRE,8.790,WINNEBAGO,2,46903,99,11798,11/9/2018,
K1005481,SHRED BARK MULCH 3,SQ YD,64.000,WINNEBAGO,2,46903,99,10,11/9/2018,
LR212000,SHAPING ROADWAY,UNIT,400.000,MCDONOUGH,4,89747,93,9,11/9/2018,
XP000001,JOURNEY ELECTRICIAN,HOUR,2000.000,VARIOUS,4,68E70,52,93.82,11/9/2018,
XP000002,APPRENT ELECTRICIAN,HOUR,140.000,VARIOUS,4,68E70,52,76.06,11/9/2018,
XP000003,JOURNEY ELECT W OT,HOUR,140.000,VARIOUS,4,68E70,52,117.34,11/9/2018,
XP000005,JOURNEY ELECT SU/H OT,HOUR,60.000,VARIOUS,4,68E70,52,153.46,11/9/2018,
XP000006,APPRENTICE ELECT W OT,HOUR,30.000,VARIOUS,4,68E70,52,87.87,11/9/2018,
XP000008,APPRENT ELECT SU/H OT,HOUR,30.000,VARIOUS,4,68E70,52,117.55,11/9/2018,
XP000009,PICK-UP TRUCK,HOUR,1350.000,VARIOUS,4,68E70,52,8.95,11/9/2018,
XP000010,BUCKET TRUCK < 35,HOUR,520.000,VARIOUS,4,68E70,52,31.5,11/9/2018,
XP000011,BUCKET TRUCK 35-65,HOUR,145.000,VARIOUS,4,68E70,52,36.75,11/9/2018,
XP000015,DIGGER DERRICK,HOUR,90.000,VARIOUS,4,68E70,52,37.8,11/9/2018,
XX000300,CONCRETE STEPS,SQ FT,84.000,DUPAGE,1,61E06,78,77,11/9/2018,
XX000679,CUT & CAP EX WATER M,EACH,2.000,DUPAGE,1,61E06,78,1055.14,11/9/2018,
XX003435,PCC DRIVE REM & REPL,SQ YD,234.000,KANE,1,61F11,86,78,11/9/2018,
XX003536,CONN EX W MN NP,EACH,20.000,DUPAGE,1,61E06,78,2057.51,11/9/2018,
XX003668,PRECONSTRUCT VID TAP,L SUM,1.000,COOK,1,61F16,88,2000,11/9/2018,
XX003668,PRECONSTRUCT VID TAP,L SUM,1.000,DUPAGE,1,61E06,78,2900,11/9/2018,
XX004689,SAN SERVICE ADJUSTED,EACH,19.000,COOK,1,61F16,88,200,11/9/2018,
XX005800,REL EX UPS BAT BU SYS,EACH,4.000,DUPAGE,1,61F05,84,850.19,11/9/2018,
XX005855,WATERMAIN CASING PIPE,FOOT,268.000,DUPAGE,1,61E06,78,101.55,11/9/2018,
XX006199,STEEL BR RAIL SM SPL,FOOT,268.000,HENRY,2,85672,90,148,11/9/2018,
XX006199,STEEL BR RAIL SM SPL,FOOT,256.000,KENDALL,3,87665,91,168.85,11/9/2018,
XX006283,SS DI T2 12,FOOT,74.000,ADAMS,6,93711,101,100,11/9/2018,
XX006496,PCC SIDEWALK CURB WAL,CU YD,15.000,DUPAGE,1,61E06,78,425,11/9/2018,
XX006587,VALVE VAULT 6 DIA,EACH,9.000,DUPAGE,1,61E06,78,4694.06,11/9/2018,
XX006624,TEMP FIRE HYDRANT,EACH,11.000,COOK,1,61F16,88,500,11/9/2018,
XX006658,FLOCCULATION LOGS,EACH,100.000,DUPAGE,1,61E06,78,150,11/9/2018,
XX006659,FLOCCULATION POWDER,POUND,20.000,DUPAGE,1,61E06,78,126,11/9/2018,
XX006821,CONC TRUCK WASHOUT,L SUM,1.000,DUPAGE,1,61E06,78,1000,11/9/2018,
XX006938,OPTIM TRAF SIG SYS SP,EACH,1.000,KANE,1,61E99,81,19157.59,11/9/2018,
XX006947,HMA DRIVE REM & REP,SQ YD,116.000,KANE,1,61F11,86,35,11/9/2018,
XX006985,SHOULDER EXCAVATION,CU YD,1585.000,PIATT,5,91580,97,35,11/9/2018,
XX007001,ROOT BARRIER,EACH,50.000,COOK,1,61F16,88,50,11/9/2018,
XX007018,LAYER 3 (NET) SWITCH,EACH,13.000,DUPAGE,1,61F05,84,15677.72,11/9/2018,
XX007169,NON-PRESSURE CONN,EACH,12.000,COOK,1,61F16,88,1350,11/9/2018,
XX007251,INT VID TMS W PTZ CAM,EACH,1.000,KANE,1,61E67,79,4369.46,11/9/2018,
XX007251,INT VID TMS W PTZ CAM,EACH,12.000,KANE,1,61E99,81,4134.46,11/9/2018,
XX007531,REL EX LTPOLE/NEW FDN,EACH,1.000,DUPAGE,1,61E06,78,5433,11/9/2018,
XX007559,GATE VALVE 8 VAULT 4,EACH,2.000,WILL,1,61F19,89,3800,11/9/2018,
XX007729,DETECTABLE WRNING SPL,SQ FT,82.000,WILL,1,61F19,89,25,11/9/2018,
XX007834,SAG FRAME AND LID,EACH,16.000,DUPAGE,1,61E06,78,886.31,11/9/2018,
XX007952,TERMINAL SERVER,EACH,1.000,DUPAGE,1,61F05,84,1360.9,11/9/2018,
XX008003,FORM LINER TEX SUR SP,SQ FT,3627.000,DUPAGE,1,61E06,78,9.53,11/9/2018,
XX008070,MAST ARM INST TYPE 1,EACH,22.000,COOK,1,61F16,88,198,11/9/2018,
XX008234,"MJ CAPS, 8""",EACH,2.000,WILL,1,61F19,89,700,11/9/2018,
XX008254,LYR III FO TM SFP LD,EACH,1.000,DUPAGE,1,61F05,84,2147.34,11/9/2018,
XX008392,OUTDR RTD NTWRK CABLE,FOOT,2565.000,KANE,1,61E99,81,1.17,11/9/2018,
XX008436,VALVE VAULTS 5 DIA,EACH,8.000,DUPAGE,1,61E06,78,3426.69,11/9/2018,
XX008453,ETHERNET SWITCH TYP 1,EACH,1.000,KANE,1,61E67,79,1965.03,11/9/2018,
XX008453,ETHERNET SWITCH TYP 1,EACH,11.000,KANE,1,61E99,81,2006.42,11/9/2018,
XX008454,ETHERNET SWITCH TYP 2,EACH,4.000,KANE,1,61E99,81,3849.35,11/9/2018,
XX008608,CABLE SPL,FOOT,1422.000,DUPAGE,1,61E06,78,1.7,11/9/2018,
XX008730,DBL HANDHOLE ADJUST,EACH,1.000,KANE,1,61E99,81,2381.65,11/9/2018,
XX008788,WIRELESS ACCESS POINT,EACH,4.000,DUPAGE,1,61F05,84,3840.94,11/9/2018,
XX008839,WATER MAIN ABANDONED,L SUM,1.000,COOK,1,61F16,88,10000,11/9/2018,
XX008865,PERMEABLE PLSTIC BERM,FOOT,726.000,KANE,1,61F04,83,14,11/9/2018,
XX008935,BLUETOOTH DETECTOR,EACH,5.000,KANE,1,61E99,81,8187.17,11/9/2018,
XX008963,3 CELL FAB INNERDUCT,FOOT,965.000,KANE,1,61E67,79,4.59,11/9/2018,
XX009046,VEH DET SYS SPL,EACH,1.000,KANE,1,61E99,81,29177.49,11/9/2018,
XX009241,ADAPT TRAF CNTRL SYS,L SUM,1.000,KANE,1,61E99,81,354400,11/9/2018,
XX009243,"MJ CAPS, 6""",EACH,1.000,WILL,1,61F19,89,600,11/9/2018,
XX009245,DETECTOR BASE STATION,EACH,4.000,DUPAGE,1,61F05,84,5336.11,11/9/2018,
XX009246,LONG RNGE DIR ANTENNA,EACH,3.000,DUPAGE,1,61F05,84,1336.81,11/9/2018,
XX009247,WIRELESS DETECT UNIT,EACH,30.000,DUPAGE,1,61F05,84,792.64,11/9/2018,
XX009248,DETECTOR SEALANT PKG,EACH,93.000,DUPAGE,1,61F05,84,52.45,11/9/2018,
XX009249,INSTALLATION TOOLKIT,L SUM,1.000,DUPAGE,1,61F05,84,506.57,11/9/2018,
XX009250,ELECTRIC METER SOCKET,EACH,81.000,DUPAGE,1,61F05,84,413.16,11/9/2018,
XX009251,FIREWALL,EACH,1.000,DUPAGE,1,61F05,84,12243.23,11/9/2018,
XX009252,CLEAN EXIST DRY WELL,EACH,3.000,WILL,1,61F19,89,1000,11/9/2018,
XX009253,RC PT EQRS 42P24R T8G,EACH,3.000,WILL,1,61F19,89,2900,11/9/2018,
XX009254,RC P TEE EQRS 42P 12L,EACH,2.000,WILL,1,61F19,89,1950,11/9/2018,
XX009255,RC P TEE EQRS 42P 21L,EACH,2.000,WILL,1,61F19,89,1950,11/9/2018,
XX009256,RCPT EQRS 48P48RT1FCL,EACH,6.000,WILL,1,61F19,89,3750,11/9/2018,
XX009257,RC P TEE EQRS 48P 12L,EACH,2.000,WILL,1,61F19,89,2300,11/9/2018,
XX009258,RC P RED EQRS 48 - 42,EACH,1.000,WILL,1,61F19,89,2700,11/9/2018,
XX009259,RCPT EQRS 42P24RT1FCL,EACH,1.000,WILL,1,61F19,89,2900,11/9/2018,
XX009260,CATCH BASINS TYPE C,EACH,4.000,DUPAGE,1,61E06,78,1643.64,11/9/2018,
XX009261,MH TA 8D,EACH,1.000,DUPAGE,1,61E06,78,11889.26,11/9/2018,
XX009262,ADJ TRAF SIG DETECT,EACH,6.000,KANE,1,61E99,81,1132.64,11/9/2018,
XX009263,"S-FORSYTH X INT 18"" C",EACH,25.000,COOK,1,61F07,85,50,11/9/2018,
XX009264,SPRINKLER SYSTEM HEAD,EACH,35.000,COOK,1,61F16,88,110,11/9/2018,
XX009265,SPRINKLER SYSTEM LINE,FOOT,1750.000,COOK,1,61F16,88,10,11/9/2018,
XX197300,SLOTTED DRAIN,FOOT,94.000,DUPAGE,1,61E06,78,215.41,11/9/2018,
XZ127900,RETAINING WALL REMOV,FOOT,767.000,DUPAGE,1,61E06,78,34.07,11/9/2018,
X0100003,CLEARING & GRUBBING,SQ YD,50.000,COOK,1,46473,67,250,11/9/2018,
X0100003,CLEARING & GRUBBING,SQ YD,106.000,DUPAGE,1,46472,66,125.5,11/9/2018,
X0100012,REM SOIL RET SYSTEM,L SUM,1.000,COOK,1,60X79,3,10000,11/9/2018,
X0100015,GRANULAR BACKFILL SPL,CU YD,26.500,COOK,1,60X93,4,90,11/9/2018,
X0100020,EARTH EXCAV UNS MAT,CU YD,2482.000,WILLIAMSON,9,78363,59,24.51,11/9/2018,
X0200004,HES PCC PVT 11 JTD,SQ YD,310.000,COOK,1,60X79,3,150,11/9/2018,
X0200004,HES PCC PVT 11 JTD,SQ YD,325.000,COOK,1,60X93,4,90,11/9/2018,
X0300019,REM REIN PARKING BLKS,EACH,161.000,WINNEBAGO,2,46903,99,77.47,11/9/2018,
X0300249,REMOV EX GATE,EACH,6.000,WINNEBAGO,2,46903,99,154.91,11/9/2018,
X0301115,LANDSCAPE EDGING,FOOT,490.000,ADAMS,6,93711,101,20,11/9/2018,
X0301430,PREC CONC PARK BLOCK,EACH,9.000,WINNEBAGO,2,46903,99,326.75,11/9/2018,
X0320023,CCTV DOME CAMERA HD,EACH,4.000,COOK,1,60X93,4,4525,11/9/2018,
X0320050,CONSTRUCTN LAYOUT SPL,L SUM,1.000,COOK,1,61F07,85,8000,11/9/2018,
X0320050,CONSTRUCTN LAYOUT SPL,L SUM,1.000,COOK,1,61F14,87,7000,11/9/2018,
X0320050,CONSTRUCTN LAYOUT SPL,L SUM,1.000,COOK,1,62C71,6,7000,11/9/2018,
X0320050,CONSTRUCTN LAYOUT SPL,L SUM,1.000,DUPAGE,1,62F57,11,26500,11/9/2018,
X0320050,CONSTRUCTN LAYOUT SPL,L SUM,1.000,WINNEBAGO,2,64B87,45,117933.24,11/9/2018,
X0320051,CROS SONIC LOG A DUCT,FOOT,7260.000,CLINTON,8,76887,58,9,11/9/2018,
X0320051,CROS SONIC LOG A DUCT,FOOT,5278.000,COOK,1,60X79,3,17.58,11/9/2018,
X0320051,CROS SONIC LOG A DUCT,FOOT,6352.000,COOK,1,60X93,4,16.5,11/9/2018,
X0320052,CROS SONIC LOG TEST,EACH,9.000,CLINTON,8,76887,58,1300,11/9/2018,
X0320052,CROS SONIC LOG TEST,EACH,15.000,COOK,1,60X79,3,3792.22,11/9/2018,
X0320052,CROS SONIC LOG TEST,EACH,31.000,COOK,1,60X93,4,3975,11/9/2018,
X0320085,MNITR ADJCNT STRCTRS,L SUM,1.000,COOK,1,60X79,3,50000,11/9/2018,
X0320085,MNITR ADJCNT STRCTRS,L SUM,1.000,COOK,1,60X93,4,225000,11/9/2018,
X0320100,GRV RCSD PVT MRKG  10,FOOT,1200.000,VARIOUS,7,46504,61,2,11/9/2018,
X0320239,CONC WALL REMOV,FOOT,60.000,WINNEBAGO,2,46903,99,82.14,11/9/2018,
X0321461,PILLAR REM,EACH,1.000,CHAMPAIGN,5,91576,96,1200,11/9/2018,
X0321750,REM TEMP CONC BAR  SO,FOOT,701.000,COOK,1,60X79,3,11.8,11/9/2018,
X0321750,REM TEMP CONC BAR  SO,FOOT,2949.000,COOK,1,60X93,4,8,11/9/2018,
X0321809,PERMANENT GRND ANCHOR,EACH,10.000,LASALLE,3,66F12,20,14605,11/9/2018,
X0321837,REMOVE SHEET PILING,L SUM,1.000,COOK,1,60X93,4,1000,11/9/2018,
X0321865,ANTI-GRAFFIT PROT SYS,SQ FT,2888.000,KANE,1,61F04,83,5,11/9/2018,
X0321963,MICRO-PILES,EACH,16.000,COOK,1,60X79,3,20000,11/9/2018,
X0322141,REM TEMP WOOD POLE,EACH,1.000,COOK,1,60X93,4,1175,11/9/2018,
X0322278,RODENT SHIELDS,EACH,94.000,WILLIAMSON,9,78363,59,65.1,11/9/2018,
X0322281,W A VID DET SYS COM,EACH,1.000,KANE,1,61E99,81,20843.17,11/9/2018,
X0322288,MEDIAN CLOSURE,EACH,3.000,WINNEBAGO,2,64B87,45,15000,11/9/2018,
X0322352,SEEDING MOBILIZATION,EACH,7.000,WINNEBAGO,2,64B87,45,1500,11/9/2018,
X0322392,BEVEL PIPE AND GUARD,EACH,1.000,WINNEBAGO,2,64B87,45,4363.06,11/9/2018,
X0322433,LT TOWER SERVICE PAD,EACH,2.000,COOK,1,60X79,3,8000,11/9/2018,
X0322433,LT TOWER SERVICE PAD,EACH,1.000,COOK,1,60X93,4,5050,11/9/2018,
X0322441,DIG LOOP DET SEN U 4C,EACH,1.000,COOK,1,60X79,3,642.9,11/9/2018,
X0322441,DIG LOOP DET SEN U 4C,EACH,3.000,COOK,1,60X93,4,527,11/9/2018,
X0322442,TONE EQ 3 FRE REC PRG,EACH,2.000,COOK,1,60X79,3,2149.4,11/9/2018,
X0322442,TONE EQ 3 FRE REC PRG,EACH,10.000,COOK,1,60X93,4,2025,11/9/2018,
X0322443,TONE EQ 3 FREQ TR PRG,EACH,2.000,COOK,1,60X79,3,1591.6,11/9/2018,
X0322443,TONE EQ 3 FREQ TR PRG,EACH,10.000,COOK,1,60X93,4,1475,11/9/2018,
X0322508,PED TRUSS SUPERSTR,SQ FT,2108.000,ADAMS,6,93711,101,90,11/9/2018,
X0322559,BOLT REPLACEMENT,EACH,5.000,ST. CLAIR,8,76945,31,667.8,11/9/2018,
X0322587,CONSTRUCTION ACCESS,EACH,1.000,VERMILION,5,46914,100,50000,11/9/2018,
X0322881,TREE TRIMMING,EACH,2.000,SANGAMON,6,72B37,22,210,11/9/2018,
X0322917,PRO SS CONN TO EX MAN,EACH,2.000,KANE,1,61F04,83,2000,11/9/2018,
X0322936,REMOV EX FLAR END SEC,EACH,1.000,MCLEAN,5,70752,21,150,11/9/2018,
